CompanyName;OrderDate;
Alfreds Futterkiste;15/01/1998 00:00:00;
Alfreds Futterkiste;16/03/1998 00:00:00;
Alfreds Futterkiste;09/04/1998 00:00:00;
Ana Trujillo Emparedados y helados;04/03/1998 00:00:00;
Antonio Moreno Taquería;28/01/1998 00:00:00;
Around the Horn;02/02/1998 00:00:00;
Around the Horn;16/03/1998 00:00:00;
Around the Horn;03/03/1998 00:00:00;
Around the Horn;10/04/1998 00:00:00;
Berglunds snabbköp;04/03/1998 00:00:00;
Berglunds snabbköp;28/01/1998 00:00:00;
Berglunds snabbköp;03/02/1998 00:00:00;
Berglunds snabbköp;06/02/1998 00:00:00;
Berglunds snabbköp;16/01/1998 00:00:00;
Blauer See Delikatessen;27/01/1998 00:00:00;
Blauer See Delikatessen;17/03/1998 00:00:00;
Blauer See Delikatessen;29/04/1998 00:00:00;
Blondesddsl père et fils;12/01/1998 00:00:00;
Bólido Comidas preparadas;24/03/1998 00:00:00;
Bon app';06/05/1998 00:00:00;
Bon app';12/01/1998 00:00:00;
Bon app';09/02/1998 00:00:00;
Bon app';05/02/1998 00:00:00;
Bon app';11/03/1998 00:00:00;
Bon app';06/03/1998 00:00:00;
Bottom-Dollar Markets;12/03/1998 00:00:00;
Bottom-Dollar Markets;13/03/1998 00:00:00;
Bottom-Dollar Markets;02/03/1998 00:00:00;
Bottom-Dollar Markets;24/04/1998 00:00:00;
Bottom-Dollar Markets;16/04/1998 00:00:00;
Bottom-Dollar Markets;23/04/1998 00:00:00;
Bottom-Dollar Markets;25/03/1998 00:00:00;
Bottom-Dollar Markets;27/03/1998 00:00:00;
B's Beverages;14/04/1998 00:00:00;
B's Beverages;13/03/1998 00:00:00;
B's Beverages;11/03/1998 00:00:00;
Cactus Comidas para llevar;10/03/1998 00:00:00;
Cactus Comidas para llevar;11/02/1998 00:00:00;
Cactus Comidas para llevar;07/01/1998 00:00:00;
Cactus Comidas para llevar;28/04/1998 00:00:00;
Chop-suey Chinese;22/04/1998 00:00:00;
Chop-suey Chinese;16/04/1998 00:00:00;
Chop-suey Chinese;20/03/1998 00:00:00;
Comércio Mineiro;23/03/1998 00:00:00;
Comércio Mineiro;22/04/1998 00:00:00;
Consolidated Holdings;23/01/1998 00:00:00;
Drachenblut Delikatessen;09/01/1998 00:00:00;
Drachenblut Delikatessen;20/04/1998 00:00:00;
Drachenblut Delikatessen;04/05/1998 00:00:00;
Du monde entier;16/02/1998 00:00:00;
Eastern Connection;24/04/1998 00:00:00;
Eastern Connection;28/04/1998 00:00:00;
Eastern Connection;31/03/1998 00:00:00;
Eastern Connection;15/04/1998 00:00:00;
Ernst Handel;13/04/1998 00:00:00;
Ernst Handel;08/04/1998 00:00:00;
Ernst Handel;01/04/1998 00:00:00;
Ernst Handel;26/03/1998 00:00:00;
Ernst Handel;23/03/1998 00:00:00;
Ernst Handel;05/05/1998 00:00:00;
Ernst Handel;18/02/1998 00:00:00;
Ernst Handel;16/01/1998 00:00:00;
Ernst Handel;27/01/1998 00:00:00;
Folk och fä HB;10/02/1998 00:00:00;
Folk och fä HB;09/01/1998 00:00:00;
Folk och fä HB;23/02/1998 00:00:00;
Folk och fä HB;27/04/1998 00:00:00;
Folk och fä HB;17/03/1998 00:00:00;
Folk och fä HB;27/03/1998 00:00:00;
Folk och fä HB;26/03/1998 00:00:00;
Folk och fä HB;01/04/1998 00:00:00;
Folk och fä HB;06/04/1998 00:00:00;
Frankenversand;09/04/1998 00:00:00;
Frankenversand;05/03/1998 00:00:00;
Frankenversand;29/01/1998 00:00:00;
France restauration;29/01/1998 00:00:00;
France restauration;24/03/1998 00:00:00;
Franchi S.p.A.;30/04/1998 00:00:00;
Franchi S.p.A.;15/04/1998 00:00:00;
Furia Bacalhau e Frutos do Mar;19/03/1998 00:00:00;
Galería del gastrónomo;05/03/1998 00:00:00;
Galería del gastrónomo;13/02/1998 00:00:00;
Godos Cocina Típica;16/02/1998 00:00:00;
Godos Cocina Típica;26/02/1998 00:00:00;
Godos Cocina Típica;13/03/1998 00:00:00;
Godos Cocina Típica;06/02/1998 00:00:00;
Godos Cocina Típica;05/02/1998 00:00:00;
Godos Cocina Típica;08/04/1998 00:00:00;
Godos Cocina Típica;21/04/1998 00:00:00;
Gourmet Lanchonetes;24/04/1998 00:00:00;
Gourmet Lanchonetes;18/03/1998 00:00:00;
Great Lakes Food Market;07/04/1998 00:00:00;
Great Lakes Food Market;30/04/1998 00:00:00;
Great Lakes Food Market;22/04/1998 00:00:00;
Great Lakes Food Market;06/01/1998 00:00:00;
Great Lakes Food Market;09/03/1998 00:00:00;
Hanari Carnes;04/03/1998 00:00:00;
Hanari Carnes;03/03/1998 00:00:00;
Hanari Carnes;13/02/1998 00:00:00;
Hanari Carnes;24/02/1998 00:00:00;
